,,,,,,,,,,OLS,,,,Varguild,,,
name,score_sta,score_p,Sig,f_sta,f_p,Sig,bp_sta,bp_p,Sig,Est,SE,P,Sig,Est,SE,P,Sig
gender,0.9928,0.3191,,0.9785,0.326,,0.6227,0.4301,,1.84,2.4033,0.4465,,1.84,2.4857,0.4617,
age,2.4679,0.1162,,2.4848,0.1195,,2.1648,0.1412,,0.2961,0.0683,0,,0.3186,0.0636,0,
TV_insp,0.0084,0.927,,0.0081,0.9285,,0.0054,0.9414,,0.6319,1.1623,0.5888,,0.5848,0.973,0.5502,
VDP_insp,5.0978,0.024,*,5.3908,0.0238,*,2.8368,0.0921,,1.1659,1.1539,0.3166,,1.1278,1.2291,0.3627,
MSV_insp,0.7194,0.3964,,0.7035,0.4051,,0.4807,0.4881,,-3.3839,1.2356,0.0082,,-2.9912,1.1177,0.0097,
VH_insp,3.4908,0.0617,,3.5845,0.0634,,1.964,0.1611,,1.51,1.145,0.1925,,1.6595,1.2374,0.1852,
VH_SS_insp,3.7602,0.0525,,3.8801,0.0537,,2.0405,0.1532,,2.4536,1.0518,0.0232,,2.8292,1.1977,0.0216,
VH_LS_insp,0.5916,0.4418,,0.5774,0.4505,,0.3736,0.541,,0.3362,1.399,0.811,,0.4114,1.2917,0.7513,
TV_exp,0.1779,0.6732,,0.1724,0.6795,,0.1119,0.738,,0.1894,1.1385,0.8685,,0.1846,0.9504,0.8467,
VDP_exp,3.8228,0.0506,,3.9491,0.0517,,1.943,0.1633,,1.8961,1.1,0.0902,,1.5345,1.1703,0.195,
MSV_exp,1.2916,0.2557,,1.2758,0.2634,,0.9979,0.3178,,-3.8346,1.1965,0.0022,,-3.3355,1.0655,0.0028,
VH_exp,6.5369,0.0106,*,7.1022,0.01,*,3.3996,0.0652,,2.5083,1.1033,0.0268,*,2.2751,1.1782,0.0585,
VH_SS_exp,2.3912,0.122,,2.4078,0.1263,,1.152,0.2831,,2.7956,1.0484,0.01,,2.4393,1.1408,0.0368,
VH_LS_exp,0.0525,0.8187,,0.0508,0.8225,,0.0384,0.8447,,1.5225,1.1729,0.1995,,1.5607,1.1975,0.1977,
VDP_insp_LLL,1.1595,0.2816,,1.1373,0.2922,,0.6868,0.4072,,2.9378,1.26,0.0245,,2.853,1.3127,0.0353,
MSV_insp_LLL,5.6773,0.0172,**,6.2082,0.0167,**,3.4289,0.0641,,-6.1277,1.2059,0,***,-6.1069,1.178,0,***
TV_insp_LLL,0.4224,0.5158,,0.4074,0.5267,,0.3541,0.5518,,-2.0386,1.4347,0.1626,,-2.1623,1.4554,0.1446,
VH_insp_LLL,0.9209,0.3372,,0.8984,0.3485,,0.5212,0.4703,,2.873,1.2568,0.0272,,2.8525,1.1496,0.0171,
VH_SS_insp_LLL,0.0195,0.8888,,0.0187,0.8919,,0.0156,0.9007,,1.3363,1.2984,0.3092,,1.4684,1.1854,0.2222,
VH_LS_insp_LLL,1.0064,0.3158,,0.9836,0.3269,,0.3935,0.5304,,3.7972,1.2997,0.0055,,3.8016,1.3145,0.006,
VDP_insp_LSL,2.896,0.0888,,2.9576,0.0927,,2.245,0.134,,-0.28,1.3499,0.8367,,-0.2969,1.4194,0.8353,
MSV_insp_LSL,0.4422,0.506,,0.4268,0.5171,,0.3818,0.5366,,-3.2464,1.5606,0.0435,,-3.0393,1.1369,0.0106,
TV_insp_LSL,5.3929,0.0202,**,5.8549,0.0198,**,3.8028,0.0512,,3.2514,1.7063,0.0634,,3.4855,1.8225,0.0625,
VH_insp_LSL,1.1546,0.2826,,1.1324,0.2932,,0.8491,0.3568,,0.0306,1.3826,0.9824,,0.0404,1.3469,0.9762,
VH_SS_insp_LSL,0.2003,0.6545,,0.1923,0.6632,,0.1449,0.7034,,0.8177,1.4883,0.5856,,0.2685,1.2212,0.827,
VH_LS_insp_LSL,1.0359,0.3088,,1.0132,0.3198,,0.783,0.3762,,-0.2652,1.4373,0.8545,,-0.2853,1.4506,0.845,
VDP_insp_RLL,0.3395,0.5601,,0.3269,0.5705,,0.2534,0.6147,,0.8289,1.3726,0.5491,,0.7956,1.3128,0.5477,
MSV_insp_RLL,4.2827,0.0385,**,4.5228,0.0392,**,3.087,0.0789,,-4.238,1.3509,0.0031,**,-4.3294,1.2209,0.001,***
TV_insp_RLL,0.6271,0.4284,,0.6077,0.4399,,0.4637,0.4959,,-1.1437,1.7582,0.5188,,-0.6947,1.5635,0.6591,
VH_insp_RLL,0.9372,0.333,,0.9146,0.3442,,0.6741,0.4116,,1.7359,1.3406,0.2023,,1.6827,1.2997,0.2023,
VH_SS_insp_RLL,1.9661,0.1609,,1.9645,0.1682,,1.3273,0.2493,,1.741,1.3422,0.2015,,1.6835,1.2338,0.1795,
VH_LS_insp_RLL,0.3409,0.5593,,0.3283,0.5697,,0.2562,0.6127,,1.8675,1.4659,0.2095,,1.8668,1.4597,0.2078,
VDP_insp_RML,0.0216,0.8832,,0.0206,0.8865,,0.0159,0.8996,,-0.3345,1.425,0.8156,,-0.3532,1.4525,0.809,
MSV_insp_RML,0.5242,0.4691,,0.5068,0.4804,,0.5293,0.4669,,-1.9858,1.4104,0.1663,,-2.0119,1.3482,0.1429,
TV_insp_RML,4.6893,0.0304,**,5.0022,0.0306,**,2.0146,0.1558,,2.5078,1.599,0.1241,,1.3371,1.7518,0.4494,
VH_insp_RML,0.1098,0.7404,,0.1052,0.7473,,0.0809,0.7761,,-0.0275,1.3502,0.9839,,-0.0256,1.2261,0.9834,
VH_SS_insp_RML,0.0098,0.921,,0.0094,0.9232,,0.0078,0.9297,,1.4422,1.4027,0.3097,,1.4315,1.4105,0.3158,
VH_LS_insp_RML,0.5312,0.4661,,0.5136,0.4774,,0.3856,0.5346,,-0.5829,1.3588,0.6701,,-0.606,0.9789,0.5391,
VDP_insp_RSL,0.3611,0.5479,,0.3479,0.5584,,0.2755,0.5997,,0.7481,1.4429,0.6068,,1.1999,1.325,0.3702,
MSV_insp_RSL,0.1211,0.7278,,0.1161,0.735,,0.1212,0.7277,,-3.3847,1.5577,0.0353,,-4.0599,1.2322,0.002,
TV_insp_RSL,0.0716,0.789,,0.0686,0.7947,,0.0591,0.8079,,1.2072,1.6852,0.4776,,1.2675,1.6493,0.4464,
VH_insp_RSL,0.1252,0.7235,,0.12,0.7308,,0.0982,0.754,,1.134,1.4195,0.4288,,1.4799,1.2864,0.2563,
VH_SS_insp_RSL,0.0323,0.8574,,0.0309,0.8613,,0.0268,0.87,,2.6932,1.5699,0.0935,,2.814,1.4054,0.0516,
VH_LS_insp_RSL,0.5899,0.4425,,0.5711,0.4539,,0.4349,0.5096,,-0.0118,1.35,0.9931,,-0.5674,1.4592,0.6993,
VDP_exp_LLL,2.5854,0.1079,,2.621,0.1128,,1.5847,0.2081,,0.7413,1.3418,0.5835,,-0.2234,1.4456,0.8779,
MSV_exp_LLL,6.986,0.0082,***,7.9023,0.0074,***,5.057,0.0245,**,-6.0111,1.2628,0,,-5.7661,1.1655,0,
TV_exp_LLL,0.0024,0.9611,,0.0023,0.9622,,0.0017,0.9669,,-2.0901,1.6622,0.2154,,-2.0986,1.5322,0.1779,
VH_exp_LLL,1.1981,0.2737,,1.1761,0.2842,,0.6175,0.432,,2.2045,1.3179,0.1016,,1.7054,1.4267,0.2385,
VH_SS_exp_LLL,0.9886,0.3201,,0.9659,0.3312,,0.6778,0.4103,,0.4687,1.4236,0.7436,,0.511,1.4347,0.7234,
VH_LS_exp_LLL,1.3455,0.2461,,1.3253,0.256,,0.6696,0.4132,,2.8678,1.331,0.0368,,2.8886,1.3222,0.0344,
VDP_exp_LSL,0.442,0.5062,,0.4265,0.5172,,0.3098,0.5778,,0.8653,1.5044,0.5682,,0.7667,1.5824,0.6305,
MSV_exp_LSL,0.1584,0.6906,,0.1519,0.6986,,0.1727,0.6777,,-3.7831,1.4801,0.0142,,-3.5438,1.2023,0.0052,
TV_exp_LSL,1.9874,0.1586,,1.9869,0.1659,,1.3703,0.2418,,1.5927,1.6864,0.3502,,1.4693,1.7997,0.4188,
VH_exp_LSL,0.6156,0.4327,,0.5964,0.4442,,0.4486,0.503,,2.3315,1.5835,0.1482,,2.3836,1.5478,0.1309,
VH_SS_exp_LSL,1.6369,0.2008,,1.6232,0.2095,,1.1939,0.2745,,2.2461,1.3905,0.1136,,2.2103,1.3337,0.1047,
VH_LS_exp_LSL,0.0436,0.8347,,0.0417,0.8392,,0.0327,0.8564,,1.2527,1.772,0.4834,,1.4983,1.5628,0.3431,
VDP_exp_RLL,0.5559,0.4559,,0.5379,0.4673,,0.4177,0.5181,,2.7306,1.2632,0.0362,,2.5835,0.9803,0.0116,
MSV_exp_RLL,3.6003,0.0578,,3.7395,0.0597,,4.1367,0.042,,-4.905,1.34,7.00E-04,,-4.7324,1.1025,1.00E-04,
TV_exp_RLL,1.7908,0.1808,,1.7821,0.1889,,1.4789,0.224,,-1.0863,1.7007,0.5264,,-1.1406,1.627,0.4871,
VH_exp_RLL,1.9703,0.1604,,1.969,0.1677,,1.3643,0.2428,,3.1174,1.2214,0.0143,,2.7483,1.0222,0.0102,
VH_SS_exp_RLL,4.8589,0.0275,**,5.205,0.0275,**,2.413,0.1203,,2.8791,1.3591,0.04,*,2.7008,1.428,0.0653,
VH_LS_exp_RLL,0.1862,0.6661,,0.1787,0.6746,,0.189,0.6637,,2.8392,1.2604,0.0294,,2.6562,0.9414,0.0072,
