,,,,,,,,,,OLS,,,,Variguild,,,
name,score_sta,score_p,,f_sta,f_p,,bp_sta,bp_p,,Est,SE,P,,Est,SE,P,
gender,0.6955,0.4043,,0.6826,0.4115,,0.4011,0.5265,,3.983,6.7491,0.557,,3.983,6.942,0.568,
age,4.4622,0.0347,**,4.6273,0.035,**,3.6862,0.0549,,0.9011,0.1868,0,,0.9456,0.1702,0,
TV_insp,0.5488,0.4588,,0.535,0.4676,,0.3517,0.5532,,1.6765,3.3323,0.6169,,1.2506,3.1206,0.6901,
VDP_insp,1.8646,0.1721,,1.8601,0.1781,,1.1327,0.2872,,4.3702,3.2867,0.189,,4.4091,3.5452,0.2188,
MSV_insp,1.7669,0.1838,,1.7595,0.1901,,1.2243,0.2685,,-10.8822,3.5449,0.0033,,-11.5494,3.6678,0.0026,
VH_insp,2.5303,0.1117,,2.5545,0.1156,,1.5729,0.2098,,4.9516,3.2648,0.135,,5.7331,3.5929,0.1162,
VH_SS_insp,3.6296,0.0568,,3.7384,0.0582,,2.4191,0.1199,,6.9016,3.0168,0.026,,7.7841,3.4511,0.028,
VH_LS_insp,0.0326,0.8568,,0.0315,0.8599,,0.0228,0.88,,4.3029,3.9777,0.284,,4.069,3.565,0.2586,
TV_exp,0.5594,0.4545,,0.5454,0.4633,,0.3604,0.5483,,0.0246,3.268,0.994,,-0.4563,2.8841,0.8748,
VDP_exp,0.0717,0.7888,,0.0693,0.7933,,0.0452,0.8316,,5.4554,3.1523,0.089,,5.1085,3.2455,0.1211,
MSV_exp,4.3398,0.0372,**,4.5291,0.0377,**,3.4248,0.0642,,-12.428,3.4052,6.00E-04,***,-12.6799,3.4467,5.00E-04,***
VH_exp,0.2204,0.6387,,0.2136,0.6457,,0.1459,0.7025,,6.9621,3.1717,0.0323,,6.7694,3.2394,0.0412,
VH_SS_exp,0.615,0.4329,,0.6001,0.4418,,0.3937,0.5303,,7.4623,3.0257,0.0167,,6.6228,3.263,0.0471,
VH_LS_exp,1.73,0.1884,,1.7217,0.1948,,1.2901,0.256,,4.1263,3.3829,0.2277,,3.5392,2.7379,0.2014,
VDP_insp_LLL,0.1071,0.7434,,0.1025,0.7504,,0.0823,0.7742,,3.9959,3.5294,0.264,,3.7091,3.6656,0.3174,
MSV_insp_LLL,3.5661,0.059,,3.7042,0.0611,,3.1715,0.0749,,-17.1493,3.2029,0,,-17.0766,3.1525,0,
TV_insp_LLL,2.3713,0.1236,,2.3924,0.1294,,2.3824,0.1227,,-3.7173,3.8907,0.3448,,-4.4375,4.0159,0.2755,
VH_insp_LLL,0.0267,0.8701,,0.0255,0.8738,,0.0204,0.8865,,5.0003,3.4815,0.1583,,5.1733,3.0568,0.098,
VH_SS_insp_LLL,0.5415,0.4618,,0.5233,0.4735,,0.4605,0.4974,,1.2954,3.5138,0.7142,,1.6837,2.826,0.5545,
VH_LS_insp_LLL,0.5651,0.4522,,0.5464,0.4639,,0.3865,0.5341,,7.9183,3.6281,0.0347,,7.9185,3.6053,0.0336,
VDP_insp_LSL,0.4632,0.4962,,0.4468,0.5075,,0.3924,0.5311,,-0.3544,3.6614,0.9234,,-0.1474,3.8539,0.9697,
MSV_insp_LSL,0.046,0.8302,,0.0439,0.835,,0.0474,0.8277,,-8.0974,4.2345,0.0627,,-5.9788,3.3382,0.0805,
TV_insp_LSL,2.7397,0.0979,,2.7888,0.1024,,2.2982,0.1295,,11.3862,4.4207,0.0136,,11.3677,4.4507,0.0144,
VH_insp_LSL,0.0319,0.8583,,0.0305,0.8623,,0.0268,0.87,,-0.306,3.7524,0.9354,,-0.3906,3.5641,0.9133,
VH_SS_insp_LSL,0.3262,0.5679,,0.3137,0.5784,,0.2812,0.5959,,1.7733,4.1317,0.67,,1.6347,4.0807,0.6908,
VH_LS_insp_LSL,0.3565,0.5505,,0.3431,0.5612,,0.302,0.5826,,-0.5884,3.8626,0.8797,,-0.5039,3.6649,0.8913,
VDP_insp_RLL,0.2503,0.6168,,0.2403,0.6265,,0.2224,0.6372,,2.011,3.6828,0.5879,,2.0188,3.6875,0.587,
MSV_insp_RLL,1.7423,0.1868,,1.7317,0.1953,,1.8703,0.1714,,-13.0222,3.5725,7.00E-04,,-13.2973,3.3177,2.00E-04,
TV_insp_RLL,0.0084,0.9271,,0.008,0.9291,,0.0073,0.932,,-4.2346,4.6847,0.3712,,-3.8061,4.009,0.3479,
VH_insp_RLL,0.0466,0.829,,0.0446,0.8338,,0.0407,0.8402,,3.3881,3.634,0.3565,,3.0719,3.4358,0.3764,
VH_SS_insp_RLL,0.1161,0.7333,,0.1111,0.7405,,0.1004,0.7514,,3.9949,3.6304,0.2774,,3.7491,3.4214,0.2794,
VH_LS_insp_RLL,0.1879,0.6647,,0.1801,0.6734,,0.166,0.6837,,4.3646,3.9445,0.2748,,4.2869,3.8938,0.2772,
VDP_insp_RML,0.1633,0.6861,,0.1565,0.6944,,0.1333,0.715,,-3.3341,3.8499,0.3914,,-3.3903,3.9305,0.3933,
MSV_insp_RML,0.5264,0.4681,,0.5086,0.4797,,0.4998,0.4796,,-2.9463,3.8741,0.4512,,-2.7119,3.5569,0.4501,
TV_insp_RML,5.7877,0.0161,***,6.3614,0.0155,***,3.1144,0.0776,,6.7883,4.2803,0.1203,,3.9804,4.6908,0.4009,
VH_insp_RML,0.5887,0.4429,,0.5696,0.4546,,0.467,0.4944,,-2.4172,3.6164,0.5075,,-2.2665,3.2448,0.4887,
VH_SS_insp_RML,1.1306,0.2877,,1.1076,0.2986,,1.048,0.306,,2.6172,3.783,0.4928,,2.631,3.7699,0.4891,
VH_LS_insp_RML,0.5622,0.4534,,0.5436,0.4651,,0.4583,0.4984,,-3.9049,3.6691,0.2933,,-3.4455,2.5977,0.1919,
VDP_insp_RSL,0.025,0.8744,,0.0239,0.8779,,0.0213,0.8839,,2.2112,3.8678,0.5706,,0.3334,4.1427,0.9362,
MSV_insp_RSL,0.2758,0.5994,,0.265,0.6094,,0.2973,0.5856,,-8.2715,4.3331,0.0631,,-9.3021,3.8349,0.0197,
