V1,V2,V3,V4,V5,V6,Estimate,Std. Error,Pr(>|t|),Estimate,Std. Error,Pr(>|t|)
0.0263,0.8711,0.0253,0.8744,0.017,0.8964,5.426,1.5309,9e-4,5.0741,1.3613,5e-4
0.047,0.8284,0.0451,0.8328,0.0281,0.8669,5.5586,1.472,5e-4,5.1544,1.2611,2e-4
0.7695,0.3804,0.7494,0.3912,0.4734,0.4914,5.3567,1.4168,4e-4,5.075,1.2861,3e-4
0.3943,0.53,0.381,0.5401,0.2265,0.6341,3.4473,1.469,0.0233,3.3448,1.3982,0.0209
0.111,0.739,0.1066,0.7455,0.0703,0.791,5.0881,1.4682,0.0012,4.7776,1.3359,8e-4
1e-4,0.9912,1e-4,0.9914,1e-4,0.9926,5.7372,1.2819,0,5.5874,1.0495,0
5.3907,0.0202,5.8196,0.0199,3.0318,0.0816,0.2843,0.0855,0.0017,0.3145,0.084,5e-4
0.4091,0.5224,0.3954,0.5326,0.1937,0.6599,-0.3176,3.2911,0.9235,-0.3176,3.232,0.9221
1.1528,0.283,1.132,0.2929,0.7963,0.3722,8.4788,3.2398,0.012,8.4788,3.0273,0.0074
1.8652,0.172,1.8597,0.1793,0.8618,0.3532,0.2379,0.4084,0.5631,0.2157,0.4118,0.6031
