V1,V2,V3,V4,V5,V6,Estimate,Std. Error,Pr(>|t|),Estimate,Std. Error,Pr(>|t|)
0.5582,0.455,0.5409,0.4659,0.3838,0.5356,17.8447,3.9229,0,17.7816,3.3614,0
0.0506,0.8221,0.0485,0.8268,0.029,0.8649,16.5547,3.8879,1e-4,16.5078,3.8721,1e-4
0.0145,0.9041,0.0139,0.9067,0.009,0.9243,16.9539,3.6728,0,16.5116,3.2252,0
0.688,0.4069,0.6685,0.4179,0.3516,0.5532,10.5631,3.9431,0.0103,10.8905,3.6184,0.0043
0.3673,0.5445,0.3545,0.5546,0.2348,0.628,16.1778,3.8353,1e-4,15.8795,3.4086,0
1.1293,0.2879,1.1078,0.2982,0.8379,0.36,17.6122,3.2731,0,17.6027,2.3173,0
2.6773,0.1018,2.7183,0.1062,1.5491,0.2133,0.951,0.2188,1e-4,1.0026,0.2178,0
3.4921,0.0617,3.6119,0.0638,1.0174,0.3131,-5.0423,9.018,0.5788,-5.0423,8.6827,0.5643
3.0331,0.0816,3.1043,0.0849,1.7892,0.181,29.9248,8.4179,9e-4,29.9248,7.637,3e-4
0.3398,0.56,0.3277,0.5699,0.1035,0.7477,0.8419,1.1123,0.4531,0.8335,1.1185,0.46
